member,event_id,scenario,time,lat,lon,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian
r8i1p1f1,11,counterfactual,2011-04-16 00:00:00,1.8526543,290.19232,0.0,0.0,1.0,1.0,0.0,0.9993988197220307
r8i1p1f1,12,counterfactual,2013-11-16 00:00:00,30.576185,68.63636,0.0,0.7016414410656786,1.0,1.0,0.0,-0.10336340477173178
r9i1p1f1,0,factual,2004-04-16 00:00:00,-76.30986,68.75,0.8217528813687981,0.0,0.8794265244752547,0.9788265546296455,0.883977862557711,0.9550791809748674
r9i1p1f1,1,factual,2005-01-16 12:00:00,-29.630281,149.0625,0.9890496324944293,0.928376177351391,0.9889717595092362,0.9999761823700489,0.9690226385432482,0.9995108978702442
r9i1p1f1,2,factual,2005-01-16 12:00:00,32.349297,251.1,0.9980171235850621,0.33835585765166,0.7063374543807585,0.9993427291498596,0.9610537753236826,0.9991058058201291
r9i1p1f1,3,factual,2005-01-16 12:00:00,61.190784,136.64772,0.9985289598173975,0.0,0.9999705592225742,0.999999999998381,0.9863505646465355,0.9999999969630302
r9i1p1f1,4,factual,2005-04-16 00:00:00,51.856594,74.545456,0.8958167114403564,0.0,0.938015797458874,0.9910977805561142,0.8516691559015032,0.9853297731281325
r9i1p1f1,5,factual,2005-07-16 12:00:00,-9.929578,29.791666,0.9998878242077696,0.0,0.9950025163281888,0.9999991331908026,0.9544906319825507,0.9999989261818039
r9i1p1f1,6,factual,2005-11-16 00:00:00,-17.527925,315.2586,0.9989268363535857,0.0,0.991684207099682,0.9999846713229459,0.9868106887030299,0.9999999978642243
r9i1p1f1,7,factual,2005-11-16 00:00:00,71.33163,148.40909,0.9996411496684289,0.0,0.9999990486985265,0.9999999999998519,0.9326193842601121,0.9999911466176884
r9i1p1f1,8,factual,2005-12-16 12:00:00,54.312027,263.84616,0.9219262895145452,0.9845187937567078,0.9475366583066425,0.9999679061662546,0.9775624659715715,0.9382644140479104
r9i1p1f1,9,factual,2006-02-15 00:00:00,38.661976,108.4375,0.9789571319309017,0.9939115973767106,0.9401117630132723,0.990900411206693,0.9754679109917925,0.9948840590981081
r9i1p1f1,10,factual,2006-03-16 12:00:00,16.69014,16.5625,0.996660797254905,0.999436210051301,0.8225247457672595,0.9538745285548568,0.9194910549527087,0.9993193743241514
r9i1p1f1,11,factual,2006-03-16 12:00:00,66.97183,313.02084,0.9925694366057947,0.999959897373533,0.9828133265520678,0.9988062993906696,0.9732893929997115,-6.4039987781264065
r9i1p1f1,12,factual,2007-02-15 00:00:00,39.61268,261.66666,0.920907792333946,0.9999938682576385,0.9436660140113725,0.988973829961121,0.9578590531141029,-1.0221629191562926
r9i1p1f1,13,factual,2007-02-15 00:00:00,43.943665,275.27777,0.9694053340827871,0.990787748450686,0.9782523311684027,0.9999680656549405,0.9610535957644394,0.5190564065574154
r9i1p1f1,14,factual,2007-04-16 00:00:00,52.008053,54.0,0.9122884974208262,0.0,0.9983669219405799,0.9999998676163253,0.939424948196511,0.9759838234547361
r9i1p1f1,15,factual,2007-11-16 00:00:00,-15.97183,20.0,0.9992582886585173,0.0,0.9712588958780694,0.999998484621194,0.9778783970358818,0.9999819533174564
r9i1p1f1,16,factual,2007-11-16 00:00:00,75.480156,311.81818,0.9525575202929528,0.98361529928666,0.9834614234945477,0.9980577528712997,0.9472074839658382,0.9877620320533476
r9i1p1f1,17,factual,2007-12-16 12:00:00,58.75077,286.84784,0.992464949000709,0.9999993544228352,0.991428662231278,0.9999999999525805,0.9825735365350171,0.9665627673579906
r9i1p1f1,18,factual,2007-12-16 12:00:00,65.64387,266.29465,0.9881104064613496,0.9985864429973831,0.9923032846773219,0.9999999999999996,0.9912356208072439,0.9990865295513266
r9i1p1f1,19,factual,2008-01-16 12:00:00,49.43662,292.95456,0.9767300916159579,0.8415198221503342,0.9673592743509648,0.9999999558301619,0.91834253174532,0.9996858442883321
r9i1p1f1,20,factual,2008-05-16 12:00:00,-86.96213,203.66379,0.924586278405574,0.0,0.9996901930609107,0.9999999681984798,0.9396819918717352,0.8425793269289622
r9i1p1f1,21,factual,2008-09-16 00:00:00,-78.299034,144.23077,0.9549389729856683,0.0,0.9664550385938974,0.9980941337389161,0.9004286294883691,0.9995874432637594
r9i1p1f1,22,factual,2009-01-16 12:00:00,62.74648,156.875,0.996825624032905,0.0,0.9897788749970823,0.999999230620555,0.9337687800949342,0.9952296445919
r9i1p1f1,23,factual,2009-02-15 00:00:00,65.938126,169.95535,0.9940451552932132,0.0,0.9876804560978641,0.9999999993636456,0.9787698109273433,0.9997183030281726
r9i1p1f1,24,factual,2009-07-16 12:00:00,-21.549295,293.75,0.9997620988354222,0.7480620146788548,0.9671240921004834,0.9993109825048676,0.910808512879528,0.9999999889926348
r9i1p1f1,25,factual,2010-01-16 12:00:00,-0.15845071,19.21875,0.9999999970772532,0.0,0.9999935491007292,0.9999999999999982,0.9779934760164418,0.9999999858405382
r9i1p1f1,26,factual,2010-09-16 00:00:00,-8.583501,295.0,0.999999997852065,0.9999999999999895,0.9997962129109561,0.9999999181761079,0.997943678308609,0.9999999819897121
r9i1p1f1,27,factual,2010-09-16 00:00:00,42.868114,248.40909,0.9408860074177013,0.0,0.987602747249485,0.9997638964309138,0.9092793724094023,0.997242151996797
r9i1p1f1,28,factual,2010-12-16 12:00:00,67.52438,288.07693,0.993602969933339,0.5870516090905045,0.9568137376872347,0.9999914736757688,0.9767469501369446,0.999493494789352
r9i1p1f1,29,factual,2010-12-16 12:00:00,78.51699,317.58823,0.9932640157166109,0.9998372325738255,0.991323570284023,0.9999997951093477,0.9851730381070194,0.8661228020629858
r9i1p1f1,30,factual,2011-01-16 12:00:00,19.09331,5.8854165,0.9995747889781786,0.9999575538751394,0.86772872200242,0.994722281350293,0.9605189059791945,0.9838600046033498
r9i1p1f1,31,factual,2011-01-16 12:00:00,15.8784275,355.0,0.9998159736879018,0.999996454357758,0.998198992569144,0.9998985371790352,0.9811072803772781,0.9961063873822138
r9i1p1f1,32,factual,2011-01-16 12:00:00,41.526764,59.2,0.970296444993139,0.8881542340982366,0.8788281088049228,0.9818967170085091,0.913095253545963,0.9999999359114619
r9i1p1f1,33,factual,2011-01-16 12:00:00,59.05048,134.29776,0.9992802983623859,0.9999999962302251,0.9999906221202711,0.9999999999842537,0.993297551519067,0.9999999801679077
r9i1p1f1,34,factual,2011-03-16 12:00:00,-30.076826,123.86364,0.9385438816364823,0.8275353581299296,0.9216784782683215,0.9999552385083714,0.9128731518919403,0.9829488022867168
r9i1p1f1,35,factual,2011-03-16 12:00:00,33.994884,56.022728,0.9748824860649933,0.9218573222425653,0.8804321035993075,0.9952973316020135,0.9195080173892081,0.9999646486223811
r9i1p1f1,36,factual,2011-04-16 00:00:00,-37.36681,295.0,0.9541556349793511,0.0,0.969553393284632,0.9983473038088483,0.9418241453277656,0.9999982762623716
r9i1p1f1,37,factual,2011-12-16 12:00:00,65.9155,125.454544,0.9964992424490968,0.0,0.9949273289891747,0.9999999939372548,0.9640183766739026,0.9925398143515508
r9i1p1f1,38,factual,2011-12-16 12:00:00,69.67461,143.10345,0.9997403887131012,0.0,0.9993801123936601,0.9999999998123273,0.9598648363466615,0.9999952813916858
r9i1p1f1,39,factual,2011-12-16 12:00:00,80.492966,337.32144,0.9873429419879182,0.9948605727284753,0.9766998727257454,0.9999974308216414,0.9906492941926757,0.992974608466498
r9i1p1f1,40,factual,2012-04-16 00:00:00,49.52716,69.46429,0.9005686593865263,0.0,0.9235379036111947,0.9957053038821524,0.8973811196377026,0.9211987971262947
r9i1p1f1,41,factual,2012-06-16 00:00:00,54.214516,355.76923,0.9987014131856319,0.9632231951198524,0.9999839406112049,0.9999999999999993,0.9615277890954806,0.9999967011915323
r9i1p1f1,42,factual,2012-06-16 00:00:00,57.23727,9.615385,0.9912563930292246,0.0,0.9983952346428653,0.9999999846172356,0.9555227287584533,0.9999887885998342
r9i1p1f1,43,factual,2012-12-16 12:00:00,-21.14597,28.295454,0.9978191337551026,0.8685883443970082,0.9978568805017982,0.9999979132630981,0.9801863766102183,0.9999999453528905
r9i1p1f1,44,factual,2013-02-15 00:00:00,2.1939328,291.82693,0.99999996732293,0.9999997002156296,0.9791404646604711,0.9998926926494582,0.9952912567609785,0.9999999930007508
r9i1p1f1,45,factual,2013-04-16 00:00:00,3.3152766,300.0,0.9999942764461899,0.6643724522608878,0.69958538080547,0.9994888116778726,0.9974604007672353,0.9999999998526725
r9i1p1f1,46,factual,2013-04-16 00:00:00,25.314833,352.05884,0.9984324399864591,0.0,0.9968577243721916,0.9999584650050746,0.9782088426018622,0.9999998028367194
r9i1p1f1,47,factual,2013-05-16 12:00:00,9.618889,6.470588,0.9999362151920336,0.9880913989165127,0.9965411607320579,0.9999938429047859,0.9912016466861663,0.9999644445781398
r9i1p1f1,48,factual,2013-05-16 12:00:00,28.394371,5.0,0.9965106324860724,0.0,0.8935561918245047,0.9995393392241927,0.9339454503686849,0.9610524177908406
r9i1p1f1,49,factual,2013-08-16 12:00:00,-81.126755,226.5,0.7422499647882057,0.0,0.655483940749019,0.9064254065041314,0.9149894243244294,0.8522191359677701
r9i1p1f1,50,factual,2013-09-16 00:00:00,-26.800804,119.64286,0.9910616327208296,0.994445422365322,0.9885404718043671,0.9999999618444934,0.9544196648287627,0.3779405934669977
r9i1p1f1,51,factual,2013-09-16 00:00:00,50.012794,21.477272,0.9452789264276517,0.28417458521812766,0.9442451397278688,0.9999998294800923,0.9411183205461394,0.9998345626435098
r9i1p1f1,52,factual,2014-02-15 00:00:00,66.72806,28.653847,0.9987129476695461,0.9482191423833204,0.9982632294872967,0.999999974936907,0.970907852450404,0.386318728267259
r9i1p1f1,53,factual,2014-05-16 12:00:00,-46.90141,291.25,0.9848480290278374,0.0,0.9863938923583773,0.9994413582184762,0.9648506846119774,0.9286782258302408
r9i1p1f1,54,factual,2014-05-16 12:00:00,38.57143,356.25,0.9903278125339409,0.0,0.9826288283811186,0.9998379040347988,0.9822181538263597,0.9984177112767177
r9i1p1f1,55,factual,2014-05-16 12:00:00,42.78169,9.5,0.9984348291174581,0.0,0.9953353645445904,0.9999999791464507,0.980414303144825,0.9999999948840822
r9i1p1f1,56,factual,2014-09-16 00:00:00,-11.725352,297.08334,0.9999922748377668,0.999999999913839,0.9797398520298005,0.9996027761102236,0.9962532689411776,0.9999996490697264
r9i1p1f1,57,factual,2014-09-16 00:00:00,-5.460455,36.346153,0.9999913019689428,0.999867094765081,0.9999999998571419,1.0,0.994144082186535,0.9999999993074502
r9i1p1f1,58,factual,2014-09-16 00:00:00,-0.80665815,295.45456,0.9999969113881148,0.0,0.9143820345793261,0.9985604020388281,0.9907902798002278,0.9999011977061836
r9i1p1f1,59,factual,2014-10-16 12:00:00,-26.619717,28.75,0.9967862251042732,0.0,0.9995565115882712,0.9999983217932464,0.9855585631173737,0.9999603242959353
r9i1p1f1,60,factual,2014-10-16 12:00:00,-9.480634,309.6354,0.9999998510853074,0.0,0.9997924056944508,0.9999999640189147,1.0,0.9999999328506475
r9i1p1f1,61,factual,2014-10-16 12:00:00,-7.7367644,23.448277,0.9999999989280476,0.0,0.9999995223740293,1.0,0.9992122072675795,0.9999999817586391
r9i1p1f1,62,factual,2014-11-16 00:00:00,-50.32394,287.75,0.9781295408085049,0.9977471538115911,0.999855589722168,0.9999996275711455,0.9914541679422396,0.9957035791003476
r9i1p1f1,63,factual,2014-11-16 00:00:00,-19.496983,145.2381,0.9998592080257317,0.9997913916678537,0.9996375761111247,0.9999999977914327,0.9859393508119935,0.9858616067466737
r9i1p1f1,64,factual,2014-11-16 00:00:00,-15.482898,133.75,0.9958533059705359,0.9857543405356495,0.987709024544648,0.9999999660216646,0.9785575823990738,0.9811291263409544
