member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian
r9i1p1f1,50,counterfactual,2006-12-16 12:00:00,61.3159,82.71429,0.46651429227686536,0.14946205179843508,0.11395405889759502,0.20908887544045318
r9i1p1f1,51,counterfactual,2007-01-16 12:00:00,68.0033,31.102942,0.24849680690314202,0.19368387045149527,0.0,0.09422617778663367
r9i1p1f1,52,counterfactual,2007-02-15 00:00:00,40.392563,270.0,0.08068382451783163,0.030568457524365655,0.0,0.01205375776500539
r9i1p1f1,53,counterfactual,2007-02-15 00:00:00,64.9481,171.25,0.735569386102467,0.30686561369035215,0.5952513898689733,0.9786873852537825
r9i1p1f1,54,counterfactual,2007-04-16 00:00:00,46.41904,253.27434,0.7334449913454625,0.23016751200558028,0.3859612393249502,0.7904236373029014
r9i1p1f1,55,counterfactual,2007-04-16 00:00:00,51.553783,53.031914,0.3603672158193887,0.13335587313484742,0.01891393407767661,0.34818652239340186
r9i1p1f1,56,counterfactual,2007-06-16 00:00:00,-81.89191,74.054054,0.4515211393693833,0.1341860669755065,0.18090543791050706,0.2464339706069515
r9i1p1f1,57,counterfactual,2007-07-16 12:00:00,-85.205154,152.82608,0.15920430637442862,0.05119231958176096,0.008671964863487758,0.07880129116502266
r9i1p1f1,58,counterfactual,2007-09-16 00:00:00,-84.61867,246.74529,0.0057287898336909615,0.007815266966213708,0.0,0.0
r9i1p1f1,59,counterfactual,2007-09-16 00:00:00,59.839725,120.0,0.5209224517923357,0.35405816052774564,0.0,0.584667369165546
r9i1p1f1,60,counterfactual,2007-10-16 12:00:00,-13.943661,307.04166,0.3482663754101025,0.14462716355176986,0.0,0.04651409717917643
r9i1p1f1,61,counterfactual,2007-10-16 12:00:00,-12.40717,20.984848,0.28184795005819085,0.051480222951005405,0.0,0.0
r9i1p1f1,62,counterfactual,2007-11-16 00:00:00,-28.833,303.1746,0.09626237457720321,0.008634520945168367,0.0,0.0
r9i1p1f1,63,counterfactual,2007-11-16 00:00:00,-17.239435,21.0,0.20897602724409903,0.030412816665950637,0.0,0.0
r9i1p1f1,64,counterfactual,2007-11-16 00:00:00,68.23428,138.93292,0.47424997082010645,0.3530596906386173,0.1957063660931776,0.8099118537981036
r9i1p1f1,65,counterfactual,2007-11-16 00:00:00,69.11288,273.61942,0.2752614731291205,0.12774470565263474,0.07655502968907402,0.2322543244058708
r9i1p1f1,66,counterfactual,2007-11-16 00:00:00,75.20679,316.03723,0.2165357079930832,0.1195904675389754,0.0,0.10217603583844648
r9i1p1f1,67,counterfactual,2007-12-16 12:00:00,62.404724,273.2353,0.6787974621972235,0.3455016464328913,0.3211291272030534,0.9153077560929894
r9i1p1f1,68,counterfactual,2007-12-16 12:00:00,65.13764,172.38637,0.24321659388982153,0.1010054420741513,0.0,0.0983945011670948
r9i1p1f1,69,counterfactual,2008-01-16 12:00:00,53.18492,288.76343,0.34563551742635756,0.1663396927625499,0.0,0.2358352229167464
r9i1p1f1,70,counterfactual,2008-01-16 12:00:00,68.65881,277.91046,0.922308349628769,0.301205090523347,0.47502441905120096,0.9431868289515665
r9i1p1f1,71,counterfactual,2008-01-16 12:00:00,78.11159,306.2864,0.7668577414362046,0.29490604604070214,0.36185519553145573,0.8545186173033775
r9i1p1f1,72,counterfactual,2008-02-15 12:00:00,70.60564,327.5625,0.0,2.1685237008739477e-05,0.0,0.0
r9i1p1f1,73,counterfactual,2008-03-16 12:00:00,70.390915,317.72958,0.013098211866521381,0.0275292958793405,0.0,0.0
r9i1p1f1,74,counterfactual,2008-04-16 00:00:00,31.421253,41.742424,0.30545201284090784,0.12295451224386611,0.029186879340281746,0.1472799380096882
r9i1p1f1,75,counterfactual,2008-05-16 12:00:00,-86.68105,193.18549,0.29586497400754763,0.08282619892230692,0.045104325920338084,0.14496763666314028
r9i1p1f1,76,counterfactual,2008-06-16 00:00:00,-78.04475,227.59804,0.4804210458849212,0.07232025482606841,0.12599785184764112,0.1645965380851947
r9i1p1f1,77,counterfactual,2008-09-16 00:00:00,-79.207596,144.6729,0.02350150788543337,0.005763141078220957,0.0,0.0
r9i1p1f1,78,counterfactual,2008-10-16 12:00:00,-10.774647,20.416666,0.3105722590967597,0.23066648511717347,0.0,0.3695288485873931
r9i1p1f1,79,counterfactual,2008-11-16 00:00:00,29.15493,22.743507,0.5668414016826631,0.3515503248143449,0.06403965559051927,0.2632797850667703
