member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_50_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r6i1p1f1,4,counterfactual,2005-03-16 12:00:00,47.7281,61.467392,0.1292094013612367,0.042269688819466134,0.008472467769538805,0.2886831261927577,0.27712412809034015
r6i1p1f1,5,counterfactual,2005-07-16 12:00:00,-7.278509,291.6129,0.11900582572414209,0.001054854179540321,2.705653725343371e-05,0.006285995840573988,0.02284900101271259
r6i1p1f1,6,counterfactual,2005-10-16 12:00:00,-5.691291,306.12244,0.4492622997559508,0.3045885088900797,0.32805558140413116,0.32597999502213504,0.5593878960446081
r6i1p1f1,7,counterfactual,2005-11-16 00:00:00,-5.312759,308.75,0.3258692521911821,0.191037889073997,0.0879901575130233,0.5402904995666595,0.5268887180260686
r6i1p1f1,8,counterfactual,2006-12-16 12:00:00,61.989006,227.31708,0.4878539609643998,0.10804668074078982,0.06764865153469257,0.0,0.0
r6i1p1f1,9,counterfactual,2007-10-16 12:00:00,-15.422535,303.33334,0.15601299640043642,0.014891782120878383,0.014590353670360656,0.14184919515770789,0.11849340943357956
r6i1p1f1,10,counterfactual,2008-01-16 12:00:00,32.10025,91.47059,0.53097288176931,0.0,0.24811580805906752,0.0,0.0
r6i1p1f1,11,counterfactual,2008-01-16 12:00:00,55.80413,293.31396,0.09556786871351541,0.04181160807115669,0.0,0.17235564136046244,0.0412603962394118
r6i1p1f1,12,counterfactual,2008-02-15 12:00:00,67.81691,66.5,0.0030638532452373912,0.004325350886436818,0.0,0.333063773051232,0.048909935127113946
r6i1p1f1,13,counterfactual,2008-06-16 00:00:00,-73.989334,52.184685,0.27438562790917365,0.0,0.0,0.7597227748327628,0.5857684300193292
r6i1p1f1,14,counterfactual,2008-11-16 00:00:00,77.93794,313.3203,0.020548771608725147,0.024687822971910633,0.0,0.0,0.0
r6i1p1f1,15,counterfactual,2009-03-16 12:00:00,18.760563,353.0,0.6570616722279252,0.22868571755534417,0.17995808891396725,0.0,0.0
r6i1p1f1,16,counterfactual,2010-01-16 12:00:00,16.300617,12.34375,0.06333656370860141,3.859617002244242e-05,0.0,0.10874217698187794,0.02107915322789633
r6i1p1f1,17,counterfactual,2010-09-16 00:00:00,-24.480635,304.53125,0.5577035366343683,0.0,0.0,0.6635016694451731,0.596878902578851
r6i1p1f1,18,counterfactual,2010-12-16 12:00:00,59.85677,90.4661,0.3545520602468294,0.13041280076228645,0.11353172154014557,0.7537860537587499,0.341540544909707
r6i1p1f1,19,counterfactual,2011-02-15 00:00:00,32.82605,270.487,0.11455926106629821,0.03025726634180792,0.0,0.001333698389063831,0.0
r6i1p1f1,20,counterfactual,2011-10-16 12:00:00,-29.05742,135.52884,0.33611754954662476,0.0,0.0,0.0,0.0
r6i1p1f1,21,counterfactual,2011-12-16 12:00:00,59.681854,99.64706,0.8308899666928817,0.2663594416206265,0.23869095001064933,0.6859613254240834,0.0
r6i1p1f1,22,counterfactual,2012-01-16 12:00:00,56.13218,243.5577,0.12100964926618685,0.03872454442925877,0.02351887147805476,0.043145785146130766,0.0
r6i1p1f1,23,counterfactual,2012-01-16 12:00:00,61.205185,46.079544,0.39638457746403843,0.13717011803123846,0.06658084178954082,0.4934487461049154,0.08295130145325846
