member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_gaussian,pn_dyn_adj_dml_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r3i1p1f1,7,counterfactual,2009-02-15 00:00:00,60.704227,261.42856,0.11526373825199732,0.05882925912108816,0.0,0.0,0.0,0.06232722959491821,0.2190775140419745
r3i1p1f1,8,counterfactual,2009-11-16 00:00:00,-3.911469,308.14285,0.24748755632628439,0.09156832799561243,0.0,0.0,0.0,0.05665289458107192,0.0
r3i1p1f1,9,counterfactual,2010-02-15 00:00:00,32.48022,83.39041,0.21442743753848292,0.07468422062871616,0.02047010905368407,0.012924361379025862,0.0,0.0,0.3312458906131277
r3i1p1f1,10,counterfactual,2010-10-16 12:00:00,-13.389084,309.375,0.5152995175193467,0.3772171350240394,0.0,0.006457832022576104,0.0,0.7830176170465363,0.0
r3i1p1f1,11,counterfactual,2011-10-16 12:00:00,49.379,85.51136,0.38496244534554613,0.07897526964820556,0.0,0.002745417073425349,0.0,0.0,0.4115517786034091
r3i1p1f1,12,counterfactual,2011-12-16 12:00:00,70.94588,111.552635,0.006492043401072234,0.012823489112893549,0.0,0.0,0.0,0.0,0.004916974721191236
r3i1p1f1,13,counterfactual,2012-01-16 12:00:00,35.176052,252.91667,0.40364972034394053,0.04187399044072504,0.1039577768452058,0.06468739713841454,0.0,0.012569871072284466,0.05738594654081586
r3i1p1f1,14,counterfactual,2012-04-16 00:00:00,-71.514084,57.708332,0.03316307187196088,0.0076777946968293875,0.0,0.0,0.0,0.06270169672857573,0.0
r3i1p1f1,15,counterfactual,2013-01-16 12:00:00,15.35673,10.122951,0.08148712523433677,0.015605539935489188,0.0,0.0,0.0,0.03668902803276042,0.001805717455293454
r3i1p1f1,16,counterfactual,2013-01-16 12:00:00,64.313385,206.00694,0.24966426586028456,0.020921598275520537,0.0,0.0,0.0,0.0,0.17202484088588943
r3i1p1f1,17,counterfactual,2013-02-15 00:00:00,15.244626,30.197369,0.15149004398082744,0.008716352924255877,0.0,0.0,0.0,0.0,0.058100636916031734
r3i1p1f1,18,counterfactual,2013-06-16 00:00:00,-89.1055,174.0849,0.5839891196309624,0.09824301348966558,0.18453304749857635,0.132596077636566,0.00490371504218734,0.5898826284998137,0.0
r3i1p1f1,19,counterfactual,2013-12-16 12:00:00,67.55111,152.17741,0.9254075308601641,0.3489124489205573,0.7116937111403607,0.6548395337337594,0.0,0.1977946024039603,0.0
r3i1p1f1,20,counterfactual,2014-06-16 00:00:00,-13.275287,27.5,0.4077867701074446,0.12763419919881425,0.24753131403309114,0.07530947816465494,0.0,0.5531374952887262,0.7185287178166202
r3i1p1f1,21,counterfactual,2014-07-16 12:00:00,-74.061035,92.38426,0.20953150940921683,0.044422154975160666,0.0,0.0,0.0,0.0,0.0024601139029235553
r3i1p1f1,22,counterfactual,2014-10-16 12:00:00,-14.807103,310.94202,0.2887016942752396,0.13450503653664347,0.0,0.0,0.0,0.2740199733409172,0.0
r3i1p1f1,23,counterfactual,2014-12-16 12:00:00,68.60915,252.34375,0.6832678692332498,0.20112104284539445,0.0,0.0,0.0,0.17031175165139423,0.0
r4i1p1f1,0,factual,2004-07-16 12:00:00,-73.8028,97.888885,0.9042082799220862,0.5550096939878335,0.7708418498963261,0.6070430539533038,0.33257219992892495,0.9829820863003493,0.3613634066110981
r4i1p1f1,1,factual,2005-01-16 12:00:00,58.672035,263.57144,0.8880455401089763,0.977298716569365,0.9718219315630588,0.9497532019993984,0.8581609853375206,0.9592371888397815,0.0
r4i1p1f1,2,factual,2005-07-16 12:00:00,-89.84055,174.76414,0.8429105772994141,0.7070882763131092,0.6289492361457214,0.37871626729558894,0.79372392432357,0.5138805636250703,0.5563916177068264
r4i1p1f1,3,factual,2005-07-16 12:00:00,-81.12674,138.81818,0.7786943280204848,0.8174074303888226,0.963407904704981,0.6759078068643232,0.8114111370560733,0.9544464223481562,0.9999384062578599
r4i1p1f1,4,factual,2006-02-15 00:00:00,18.814886,7.428571,0.8473530638649307,0.9975360382031451,0.4941290361008567,0.3261673815847381,0.9800109246369575,0.9679548522066024,0.9998858830352612
r4i1p1f1,5,factual,2006-02-15 00:00:00,16.812454,353.75,0.6582862165003323,0.999770066253858,0.7450844233188085,0.719054461268456,0.9977598496208524,0.990917374058804,0.0
r4i1p1f1,6,factual,2006-04-16 00:00:00,52.028175,258.94446,0.941703294908556,0.8370328188439033,0.9830622024582041,0.9525134923862926,0.628732165550467,0.0,0.9990100053937343
r4i1p1f1,7,factual,2006-11-16 00:00:00,71.94003,316.9086,0.758644031999789,0.9706706707743572,0.9562348524096733,0.912061485066933,0.9873656888117617,0.3364344722667679,0.9150908483529752
r4i1p1f1,8,factual,2007-02-15 00:00:00,20.242077,22.03125,0.7504777956373936,0.9894962645983995,0.27675695645099785,0.062281363788071586,0.9200537187777267,0.9334442748185693,0.9969327768008163
r4i1p1f1,9,factual,2007-06-16 00:00:00,-86.32922,140.1302,0.9258329082900687,0.7034864032572812,0.9734898160088822,0.7436972679752172,0.723781915375362,0.0,0.9883294113075775
r4i1p1f1,10,factual,2007-12-16 12:00:00,63.653904,89.52643,0.9996875991502695,0.9787674758227423,0.9431528905913485,0.8046901861934115,0.8963092364592706,0.9999999238727822,0.988138948428434
r4i1p1f1,11,factual,2009-01-16 12:00:00,44.584507,102.763885,0.842856678910614,0.9823690126030048,0.9816700072875187,0.860967754280872,0.8965197386286103,0.9999706357157145,0.9998236714196221
r4i1p1f1,12,factual,2009-03-16 12:00:00,46.824585,57.878788,0.9270663873029524,0.9345549571011793,0.8837418270421155,0.49664311638715175,0.8028505070340304,0.4353009350546817,0.9960669431300778
r4i1p1f1,13,factual,2009-05-16 12:00:00,-82.788734,7.9444447,0.5352286265868569,0.6669553392738665,0.9444320761350874,0.9151276285477505,0.806905813280014,0.9229229817755751,0.0
r4i1p1f1,14,factual,2009-05-16 12:00:00,-82.448875,339.8925,0.991790443584375,0.7664187669541869,0.969605636814492,0.9623659171639279,0.9361818218376461,0.9989330539568189,0.8571590913710452
r4i1p1f1,15,factual,2009-05-16 12:00:00,19.90141,98.5,0.8866924518492302,0.9933251828732651,0.24377077397990432,0.24759334084468287,0.9464604489935635,0.0,0.9984046376013902
r4i1p1f1,16,factual,2009-06-16 00:00:00,-30.115238,297.42426,0.7864197294755946,0.8697369079433602,0.5758199746278487,0.5712375598308438,0.6830780733685093,0.9969751227150947,0.0
r4i1p1f1,17,factual,2010-12-16 12:00:00,36.81952,275.75583,0.9349631869250188,0.9730551451948751,0.9824904092268393,0.8225231822667813,0.8805903824913398,0.992628728761573,0.0
r4i1p1f1,18,factual,2011-07-16 12:00:00,-86.71369,163.69403,0.9386635741853521,0.7477187391956925,0.978602081390987,0.9099157102557823,0.905879820183405,0.9957481291826407,0.0
r4i1p1f1,19,factual,2012-10-16 12:00:00,-10.386188,307.74194,0.905319469650514,0.9999929264113958,0.7866974934410391,0.533791011948744,0.9989173116644091,0.9774759021016249,0.9999999999999788
r4i1p1f1,20,factual,2012-12-16 12:00:00,57.959248,93.69681,0.9996520732741002,0.971127170973924,0.9944195992257615,0.7621354184275821,0.881902143255162,0.999446449830611,0.9909820410220043
r4i1p1f1,21,factual,2012-12-16 12:00:00,66.971825,174.08333,0.9962811261838079,0.9847615607467494,0.9849746817470493,0.9040458969805271,0.9123886112506904,0.9811518493196975,0.27054464110900733
r4i1p1f1,22,factual,2013-09-16 00:00:00,-18.211267,302.91666,0.8280778099298994,0.997227482416505,0.5736460672565895,0.49861591058678323,0.9700256115703374,0.0,0.9999999794508657
r4i1p1f1,23,factual,2013-12-16 12:00:00,52.71748,114.06863,0.968381353676272,0.9722204795501391,0.9829753423583812,0.7772624991840377,0.8836682789238681,0.9999611367302916,0.9888632302474136
r4i1p1f1,0,counterfactual,2004-07-16 12:00:00,-73.8028,97.888885,0.09957713082833353,0.0,0.0,0.0,0.0,0.0,0.0
