member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian
r9i1p1f1,14,counterfactual,2005-01-16 12:00:00,-28.402288,147.73438,0.15007401396760855,0.06894012431386187,0.0,0.0,0.0
r9i1p1f1,15,counterfactual,2005-01-16 12:00:00,33.369312,251.98051,0.655395208560925,0.2724375628504715,0.8622947253508761,0.0,0.7644626956835596
r9i1p1f1,16,counterfactual,2005-01-16 12:00:00,60.392986,134.87762,0.137194641842318,0.1300317142374121,0.0,0.0,0.10065333978587288
r9i1p1f1,17,counterfactual,2005-02-15 00:00:00,33.302208,268.42392,0.20925825003302323,0.08076861560003346,0.0685074580626962,0.0,0.25377635243503316
r9i1p1f1,18,counterfactual,2005-04-16 00:00:00,20.525461,6.201923,0.3179815573960988,0.1357454592934748,0.0,0.0,0.2071011539833102
r9i1p1f1,19,counterfactual,2005-04-16 00:00:00,50.833572,73.57143,0.13611895791146156,0.05299930297503541,0.14106993682858848,0.01263160292678489,0.5651094619064069
r9i1p1f1,20,counterfactual,2005-06-16 00:00:00,63.62563,140.64516,0.4145691515771901,0.2001218402103936,0.0,0.025161721782951174,0.16294976199250588
r9i1p1f1,21,counterfactual,2005-07-16 12:00:00,-81.05363,18.413462,0.28902215509842766,0.05182967837132846,0.23014923485676908,0.047803093623031034,0.0
r9i1p1f1,22,counterfactual,2005-07-16 12:00:00,-78.47272,351.32812,0.23764177512824236,0.021754357389423218,0.0,0.030843652066942062,0.42947037255397447
r9i1p1f1,23,counterfactual,2005-07-16 12:00:00,-9.302276,31.153847,0.6846074596991794,0.22500632310546054,0.9089545135518673,0.37171981788811936,0.0
r9i1p1f1,24,counterfactual,2005-09-16 00:00:00,-1.4677538,290.7237,0.14065069247908613,0.005375679831778557,0.0,0.0008449887856654126,0.0
r9i1p1f1,25,counterfactual,2005-11-16 00:00:00,-17.377722,309.31818,0.05045032122062554,0.0026936841203430983,0.0,0.0,0.0
r9i1p1f1,26,counterfactual,2005-12-16 12:00:00,53.008568,267.1134,0.25711330684784717,0.15802117521451786,0.0,0.0,0.0
r9i1p1f1,27,counterfactual,2005-12-16 12:00:00,70.431335,113.046875,0.0144033762857122,0.07540270090407508,0.06162332188886355,0.0,0.22324041726250488
r9i1p1f1,28,counterfactual,2006-01-16 12:00:00,19.08865,48.455883,0.562409023225238,0.4622198368585352,0.8942382764455301,0.6261152057165642,0.0
r9i1p1f1,29,counterfactual,2006-01-16 12:00:00,40.611217,274.82706,0.12343207922567923,0.06450489459959263,0.055038156778179026,0.0,0.4125194545581907
