member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_pca_gaussian
r7i1p1f1,13,counterfactual,2012-07-16 12:00:00,-70.901405,28.833334,0.745071298587203,0.0,0.44159783438288747,0.8214900322203922
r7i1p1f1,14,counterfactual,2012-08-16 12:00:00,-73.30987,352.29166,0.3737464566214812,0.05702524405226317,0.0,0.0
r7i1p1f1,15,counterfactual,2012-08-16 12:00:00,-72.40266,7.352941,0.5045424806520253,0.0,0.059010014282868006,0.11318619836944743
r7i1p1f1,16,counterfactual,2012-12-16 12:00:00,33.031235,269.74637,0.43347730016408537,0.12912120633411261,0.0,0.1824298721703812
r7i1p1f1,17,counterfactual,2013-01-16 12:00:00,65.75193,152.8629,0.0001436625115140977,0.000287458921464423,0.0,0.0
r7i1p1f1,18,counterfactual,2013-08-16 12:00:00,30.76825,9.545455,0.3960973234026338,0.10645366399413891,0.0036888269664843154,0.22373727098781337
r7i1p1f1,19,counterfactual,2013-10-16 12:00:00,-16.750504,306.60715,0.8473770333497421,0.44145944336680665,0.855190439780267,0.9983609196251008
r7i1p1f1,20,counterfactual,2014-05-16 12:00:00,-87.369995,162.84187,0.0029647505586439804,0.009025102789450012,0.0,0.0
r7i1p1f1,21,counterfactual,2014-05-16 12:00:00,-27.517603,138.28125,0.4221454329162502,0.017404000198325442,0.0,0.0
r7i1p1f1,22,counterfactual,2014-06-16 00:00:00,-19.140844,143.33333,0.3188398215064421,0.0007442169298521595,0.0,0.0
r7i1p1f1,23,counterfactual,2014-09-16 00:00:00,-70.79578,64.25,0.4007475100840122,0.0,0.0262227570982021,0.011147885140634473
r7i1p1f1,24,counterfactual,2014-10-16 12:00:00,-6.9345484,29.264706,0.28368100617430847,0.0,0.005961188399868145,0.0
r7i1p1f1,25,counterfactual,2014-12-16 12:00:00,66.021126,179.79167,0.0040531536606365215,0.01522113063277275,0.0,0.0
r8i1p1f1,0,factual,2010-05-16 12:00:00,48.461544,126.92308,0.9233374461236777,0.9145753354405757,0.9577558326345623,0.9999998046407323
r8i1p1f1,1,factual,2010-07-16 12:00:00,56.661976,14.3125,0.9852428437152693,0.9383928540758939,0.911742404756335,0.9993514028944801
r8i1p1f1,2,factual,2011-02-15 00:00:00,29.219387,257.41525,0.8300188062887925,0.9717643346805193,0.7770088408622735,0.9996016920235703
r8i1p1f1,3,factual,2011-02-15 00:00:00,43.918804,122.05882,0.9315609680921856,0.9403713244802719,0.9254017975238811,0.9997729721211814
r8i1p1f1,4,factual,2011-03-16 12:00:00,48.499687,25.108696,0.9979814792729413,0.8555273180933208,0.792977001372605,0.9994481547998286
r8i1p1f1,5,factual,2011-05-16 12:00:00,31.78765,5.3846154,0.9649961476710167,0.9713424601371836,0.443201563889538,0.9998735848713036
r8i1p1f1,6,factual,2012-01-16 12:00:00,63.405636,37.0,0.9909687854552808,0.9844103120738635,0.9900519259514138,0.9999982930368854
r8i1p1f1,7,factual,2012-03-16 12:00:00,16.09859,355.25,0.8569971550415952,0.9940216769368015,0.9110767202740502,0.996955078169905
r8i1p1f1,8,factual,2012-03-16 12:00:00,18.507042,3.0,0.9274009016986049,0.9925968537890636,0.4272104716100984,0.9984057542267017
r8i1p1f1,9,factual,2012-04-16 00:00:00,-88.253525,166.0,0.9957406842061926,0.7909652569152734,0.5898037146185655,0.9832227870493604
r8i1p1f1,10,factual,2012-04-16 00:00:00,-88.34662,239.89131,0.9777763986974615,0.8244837352383263,0.9691910582304565,0.999937523237448
r8i1p1f1,11,factual,2012-04-16 00:00:00,-84.38632,334.2857,0.9830751685400224,0.6977517611280295,0.7873320217194328,0.9938277113656482
r8i1p1f1,12,factual,2012-05-16 12:00:00,24.084505,100.90909,0.9247390782505797,0.969863100206961,0.6456507467356767,0.9999291743216281
r8i1p1f1,13,factual,2013-01-16 12:00:00,65.44014,172.75,0.9997545383502009,0.9799094471349516,0.927674741606964,0.9999998551301966
r8i1p1f1,14,factual,2013-04-16 00:00:00,49.43662,275.46875,0.8894878359640668,0.9511843319501896,0.996428978985026,0.9999999455559049
r8i1p1f1,15,factual,2014-01-16 12:00:00,40.225353,271.83334,0.9877060428486507,0.9427811669596847,0.992783027644709,0.9999961506864231
r8i1p1f1,16,factual,2014-01-16 12:00:00,56.3662,77.333336,0.983866118821371,0.6901069031129025,0.9310915303091835,0.9977024565476799
