member,event_id,scenario,time,lat,lon,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_analogue_sparse_adjusted_gaussian
r6i1p1f1,78,factual,2014-03-16 12:00:00,34.542255,47.125,0.9832872246773593,0.0,0.9790823135075802,0.9996039634041252,0.8254436204436563
r6i1p1f1,79,factual,2014-09-16 00:00:00,-13.873239,318.47223,0.9974541390104614,0.0,0.9761209293809433,0.9999533180613793,0.9999975926098627
r6i1p1f1,0,counterfactual,2004-02-15 12:00:00,44.59667,115.681816,0.03171161951621171,0.0,0.8781325186191368,0.9999988379465959,0.4911482041916104
r6i1p1f1,1,counterfactual,2005-01-16 12:00:00,-84.10937,221.32353,0.07733859873592208,0.9995196521691166,1.0,1.0,0.5997772618256869
r6i1p1f1,2,counterfactual,2005-01-16 12:00:00,42.46479,243.67188,0.01961288870191158,0.0,0.9999139273243792,0.9999999983773594,0.0
r6i1p1f1,3,counterfactual,2005-01-16 12:00:00,-44.366196,289.16666,0.06883921146590177,0.0,1.0,1.0,0.4178416477299882
r6i1p1f1,4,counterfactual,2005-02-15 00:00:00,64.95025,50.114677,0.022259446688362883,0.9862853611453176,1.0,1.0,0.9578121767067972
r6i1p1f1,5,counterfactual,2005-04-16 00:00:00,42.97183,120.75,0.05616019500722913,0.0,1.0,1.0,0.9815836135718274
r6i1p1f1,6,counterfactual,2007-04-16 00:00:00,50.95775,95.625,0.11090068358646787,0.0,0.9999998237076574,0.9999911744433271,0.4191899883434752
r6i1p1f1,7,counterfactual,2008-01-16 12:00:00,62.215675,110.3125,0.15102232119373826,0.999532286896745,1.0,1.0,0.7354600253498347
r6i1p1f1,8,counterfactual,2008-02-15 12:00:00,57.676052,66.875,0.12232925714329779,0.8884454979629248,1.0,1.0,0.0
r6i1p1f1,9,counterfactual,2008-02-15 12:00:00,47.7281,61.467392,0.055697729697148146,0.9999966206747654,1.0,1.0,0.9885123035951798
r6i1p1f1,10,counterfactual,2008-02-15 12:00:00,13.774647,103.666664,0.1216086434894692,0.9994226015315598,1.0,1.0,0.0
r6i1p1f1,11,counterfactual,2009-08-16 12:00:00,21.354279,29.326923,0.016120388351586135,0.5725829133354536,1.0,1.0,0.9532134596439843
r6i1p1f1,12,counterfactual,2010-10-16 12:00:00,-19.104626,291.7857,0.12961041513702964,0.0,0.7963227250261905,0.9967646654034481,0.9999999262406348
r6i1p1f1,13,counterfactual,2011-01-16 12:00:00,-7.278509,291.6129,0.1496944793111995,0.0,1.0,1.0,0.98159212497925
r6i1p1f1,14,counterfactual,2011-01-16 12:00:00,-5.691291,306.12244,0.23311891659105455,0.0,1.0,1.0,0.9981019156916806
r6i1p1f1,15,counterfactual,2011-04-16 00:00:00,-10.77465,20.535715,0.20230667627353172,0.9792463403205214,1.0,1.0,0.9455619805646868
r6i1p1f1,16,counterfactual,2012-03-16 12:00:00,-20.372234,23.75,0.045909873310230886,0.0,1.0,1.0,0.9996489494781385
r6i1p1f1,17,counterfactual,2012-03-16 12:00:00,-5.312759,308.75,0.13139759826952058,0.9214141521771468,1.0,1.0,0.9997956042545209
r6i1p1f1,18,counterfactual,2012-04-16 00:00:00,37.336746,97.045456,0.03607664262671273,0.9004867057877728,0.9999999999217262,0.9999999999999094,0.43912772025454394
r6i1p1f1,19,counterfactual,2013-01-16 12:00:00,37.25352,260.83334,0.2717704724661606,0.0,1.0,1.0,0.724113859463229
r6i1p1f1,20,counterfactual,2014-03-16 12:00:00,-40.94366,288.5,0.011661760019533784,0.0,1.0,1.0,0.9974046955142588
r7i1p1f1,0,factual,2004-09-16 00:00:00,-9.360781,302.5,0.999779276107827,0.0,0.9999672820476448,0.9999984761018489,0.9999999982547778
r7i1p1f1,1,factual,2004-12-16 12:00:00,-21.203585,28.40909,0.9526272625565629,0.8991361344834459,0.9321418744825091,0.9998955630806985,0.9999978958642951
r7i1p1f1,2,factual,2004-12-16 12:00:00,73.0,320.8611,0.9950288745874536,0.0,0.9988687501088688,0.9999837842537987,0.8904050492644232
r7i1p1f1,3,factual,2005-02-15 00:00:00,-26.348087,117.85714,0.9217454311470622,0.8491487135335254,0.9658497371970823,0.9999582237237254,0.9515114281675797
r7i1p1f1,4,factual,2005-02-15 00:00:00,67.37812,260.28845,0.9799024204698169,0.9659631614132681,0.8278422504641583,0.9999976393178276,0.9654955193271747
r7i1p1f1,5,factual,2005-12-16 12:00:00,52.663254,132.27272,0.9855006785970333,0.9982107035479381,0.9996010528034301,0.9999981183586987,0.0
r7i1p1f1,6,factual,2005-12-16 12:00:00,58.943665,132.5,0.9908503955736232,0.9830843664100833,0.9999564908769152,0.9999986172064187,0.0
r7i1p1f1,7,factual,2006-02-15 00:00:00,25.171024,23.782467,0.9948490849456181,0.0,0.9914418209554945,0.9997387200499184,0.999414121701734
r7i1p1f1,8,factual,2006-02-15 00:00:00,15.120723,356.07144,0.9746105533227648,0.0,0.9985870043043663,0.9981380763645041,0.9696613488425757
r7i1p1f1,9,factual,2006-02-15 00:00:00,66.54929,291.45834,0.9162200115699877,0.6605670411032228,0.9068646689389728,0.9996244297341345,0.506437184180287
r7i1p1f1,10,factual,2006-02-15 00:00:00,79.34272,301.3889,0.9573631178098323,0.9997311699887037,0.8943271122191068,0.99930650705845,0.0
r7i1p1f1,11,factual,2006-07-16 12:00:00,57.713345,11.911765,0.9736853366167527,0.0,0.975272982941235,0.9999840287174547,0.9935229474284599
r7i1p1f1,12,factual,2006-08-16 12:00:00,23.27785,25.90909,0.9592613032044686,0.0,0.6958943910635129,0.9414058635140113,0.9324014815033784
r7i1p1f1,13,factual,2006-09-16 00:00:00,-0.6338027,112.708336,0.9999997851968717,0.0,0.99999999999993,1.0,0.9999999960542291
r7i1p1f1,14,factual,2006-10-16 12:00:00,-10.394366,28.25,0.991453829440971,0.1222028595702338,0.9939509944884367,0.9999788872272736,0.9999999995456895
r7i1p1f1,15,factual,2006-11-16 00:00:00,70.39436,114.0,0.9919915860013059,0.9999920711439267,0.9999078126006761,0.9999999993436544,0.0
r7i1p1f1,16,factual,2007-01-16 12:00:00,13.151408,28.75,0.9930019288063315,0.999632558681392,0.9898885869472063,0.9996307890419653,0.6982768657240803
r7i1p1f1,17,factual,2007-01-16 12:00:00,23.01972,43.9,0.9910604514430618,0.9979896379192108,0.9872681954430294,0.9994155618873661,0.9972581045639247
r7i1p1f1,18,factual,2007-01-16 12:00:00,68.68118,26.818182,0.984021183531903,0.9928140691718418,0.805853259454965,0.9999996951638236,0.9136274264107969
r7i1p1f1,19,factual,2007-06-16 00:00:00,-68.40982,125.241936,0.5859223991258646,0.32227051544766405,0.9527547945516448,0.9969639489140549,0.47610093325564284
r7i1p1f1,20,factual,2007-07-16 12:00:00,57.12148,125.078125,0.9756814221834524,0.0,0.9999486086311674,0.9999949815820995,0.9964320010154223
r7i1p1f1,21,factual,2007-11-16 00:00:00,68.71297,158.01724,0.9634191065470974,0.0,0.9987885233315238,0.9999999999999117,0.9977147276474956
r7i1p1f1,22,factual,2007-12-16 12:00:00,-0.11523685,307.5,0.9977148495077375,0.9965761502764308,0.978780382827348,0.999678400715643,0.9999999993733143
r7i1p1f1,23,factual,2007-12-16 12:00:00,51.948357,292.68518,0.9889899766124896,0.9284388162845801,0.9997921553661108,0.999999999999801,0.7784298009543527
r7i1p1f1,24,factual,2007-12-16 12:00:00,73.28345,319.14062,0.9471736126732777,0.8522533068165226,0.9025172371005468,0.9986822126094891,0.353287950356025
r7i1p1f1,25,factual,2008-02-15 12:00:00,42.37425,55.357143,0.8795653122651972,0.0,0.8321949594394447,0.9859992128125689,0.9999999986403794
r7i1p1f1,26,factual,2008-05-16 12:00:00,-79.01409,257.67856,0.5658677354011937,0.9992974909902346,0.8737922057618592,0.9725858602464277,0.0
r7i1p1f1,27,factual,2008-09-16 00:00:00,48.102295,4.0789475,0.9524065561824034,0.0,0.9377565597474595,0.9996663051723823,0.9762579757810889
r7i1p1f1,28,factual,2008-11-16 00:00:00,-18.22183,310.20834,0.9967563243953015,0.9688367335427921,0.9995118464109167,0.9999596928181673,0.999999989071457
r7i1p1f1,29,factual,2009-04-16 00:00:00,39.295776,252.63158,0.9340848774225914,0.6443360675204617,0.889085634197532,0.9998249699086161,0.0
r7i1p1f1,30,factual,2009-11-16 00:00:00,72.053375,268.6842,0.9812853763459668,0.0,0.9710294849381228,0.999999324256921,0.9750933905769926
r7i1p1f1,31,factual,2009-11-16 00:00:00,71.504486,247.61363,0.974611263624817,0.6590490182978874,0.9992976660152519,0.9999999987566627,0.8262989586598635
r7i1p1f1,32,factual,2009-11-16 00:00:00,79.9497,275.0,0.975531003504865,0.0,0.9551056334843342,0.9999999999627625,0.9984481336256134
r7i1p1f1,33,factual,2009-12-16 12:00:00,64.64788,48.958332,0.9318956240123412,0.9774854824968727,0.9871806344542825,0.9993955824659683,0.0
r7i1p1f1,34,factual,2010-10-16 12:00:00,52.54801,117.045456,0.9489479792238094,0.0,0.9696842755566263,0.9992848107851967,0.9893593424199777
r7i1p1f1,35,factual,2011-02-15 00:00:00,44.97815,90.86207,0.9062765511221387,0.9983573519756745,0.4384224407660581,0.7228566450963523,0.9581400497026523
r7i1p1f1,36,factual,2011-10-16 12:00:00,-24.891163,27.5,0.966151901916253,0.0,0.9838775203588106,0.9999281608752311,0.9978353909740769
r7i1p1f1,37,factual,2011-10-16 12:00:00,-12.018779,20.277779,0.9998225311181815,0.9995522719638633,0.9997055575831306,0.99999998454478,0.9999999989021222
r7i1p1f1,38,factual,2011-10-16 12:00:00,80.73673,292.1154,0.9919082759676134,0.997338785097284,0.9951606053352163,0.9999999999587241,0.9999853787429968
r7i1p1f1,39,factual,2011-12-16 12:00:00,-17.384306,16.964285,0.9988871468924758,0.0,0.9999946011167852,0.9999999967403223,0.9999996107673472
r7i1p1f1,40,factual,2011-12-16 12:00:00,56.209793,81.45522,0.9320233938474453,0.18302796767669027,0.9599404873978946,0.988497484767848,0.8965184324137289
r7i1p1f1,41,factual,2012-01-16 12:00:00,11.577466,8.333333,0.932208204562543,0.079923479341654,0.8804920831056176,0.9517379864327401,0.9979257324944288
r7i1p1f1,42,factual,2012-01-16 12:00:00,21.779768,100.90909,0.8828016225543917,0.8245475052678604,0.9520552256515707,0.9988261587652739,0.9999995119753032
r7i1p1f1,43,factual,2012-01-16 12:00:00,70.866325,100.37736,0.9931972235140115,0.9999998565475073,0.9999765457611208,0.9999999999437601,0.8644509013244942
r7i1p1f1,44,factual,2012-02-15 12:00:00,14.689312,354.70587,0.9819047789733316,0.8231093958869391,0.999418019009858,0.9994177507073634,0.9859496795388513
r7i1p1f1,45,factual,2012-02-15 12:00:00,19.234535,4.4565215,0.9701932412901835,0.0,0.7730153913470194,0.9437987858978962,0.999746229698805
r7i1p1f1,46,factual,2012-07-16 12:00:00,-83.60739,177.34506,0.9645792640070491,0.0,0.9996257792587658,0.9999864790743663,0.9999999810404874
r7i1p1f1,47,factual,2012-07-16 12:00:00,-70.901405,28.833334,0.8344792528879836,0.6516930975466982,0.9809323412085185,0.9958086831296045,0.0
r7i1p1f1,48,factual,2012-08-16 12:00:00,-73.30987,352.29166,0.8320417120617003,0.0,0.9694139017974108,0.9856557500566777,0.9879633522942534
r7i1p1f1,49,factual,2012-08-16 12:00:00,-72.40266,7.352941,0.7519081523928549,0.0,0.8109422165040847,0.8988225643265171,0.957978750139348
r7i1p1f1,50,factual,2012-12-16 12:00:00,33.031235,269.74637,0.9755857143266656,0.9999825233741055,0.9711491782340523,0.9990724634699156,0.0
r7i1p1f1,51,factual,2013-01-16 12:00:00,65.75193,152.8629,0.96234837012195,0.9632365331459769,0.9998472259844321,0.9999992272269123,0.9997062835050141
r7i1p1f1,52,factual,2013-08-16 12:00:00,30.76825,9.545455,0.9757034230188742,0.0,0.7143865845668773,0.9875393880685059,0.9955248101059787
r7i1p1f1,53,factual,2013-10-16 12:00:00,-16.750504,306.60715,0.9949471621304212,0.0,0.9900535938864574,0.9985002236639985,0.9999999977472002
r7i1p1f1,54,factual,2014-05-16 12:00:00,-87.369995,162.84187,0.8284779511807585,0.0,0.9725675291999178,0.9876081678019042,0.9711706002473274
r7i1p1f1,55,factual,2014-05-16 12:00:00,-27.517603,138.28125,0.9792414711039044,0.0,0.9957552048920529,0.9998595144037982,0.9982415677028772
r7i1p1f1,56,factual,2014-06-16 00:00:00,-19.140844,143.33333,0.9848436779192139,0.0,0.9980667410917815,0.9999988802015212,0.9999999995299841
r7i1p1f1,57,factual,2014-09-16 00:00:00,-70.79578,64.25,0.7613600925624703,0.0,0.7963542002651158,0.9715909940662011,0.9352571733802982
r7i1p1f1,58,factual,2014-10-16 12:00:00,-6.9345484,29.264706,0.9997115262771351,0.9999864549896528,0.9998608880409559,0.9999998392673586,0.9999999960686532
r7i1p1f1,59,factual,2014-12-16 12:00:00,66.021126,179.79167,0.9666342977081407,0.0,0.9998708653971623,0.9999999997334801,0.9999997236409515
r7i1p1f1,0,counterfactual,2004-03-16 12:00:00,-9.360781,302.5,0.0,0.6205624690482571,0.9999999999999548,1.0,0.0
r7i1p1f1,1,counterfactual,2005-01-16 12:00:00,-21.203585,28.40909,0.0,0.7832008121642801,1.0,1.0,0.9924169510610604
r7i1p1f1,2,counterfactual,2006-01-16 12:00:00,73.0,320.8611,0.0,0.0,1.0,1.0,0.9750663196724408
r7i1p1f1,3,counterfactual,2006-01-16 12:00:00,-26.348087,117.85714,0.0,0.0,1.0,1.0,0.9962983179394744
