member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian,pn_analogue_sparse_sir_3_gaussian,pn_analogue_sparse_sir_10_gaussian
r3i1p1f1,13,factual,2012-01-16 12:00:00,35.176052,252.91667,0.8722742860734369,0.9495306776152088,0.0,0.9601116159745757,0.991029162453578,0.32048180498252743,0.9996984930116202
r3i1p1f1,14,factual,2012-04-16 00:00:00,-71.514084,57.708332,0.993075904646343,0.8923696331099277,0.9999999921354867,0.9201295178868686,0.9068852354070005,0.9336317371195424,0.9986943071426897
r3i1p1f1,15,factual,2013-01-16 12:00:00,15.35673,10.122951,0.9499995985731058,0.9992590577803467,0.0,0.9343644361774651,0.8752366572731065,0.9733966036618846,0.9884383005058002
r3i1p1f1,16,factual,2013-01-16 12:00:00,64.313385,206.00694,0.9973375880614931,0.9845057652625634,0.0,0.9403486312304817,0.9937309721464727,0.9920687137880679,0.9929808123339887
r3i1p1f1,17,factual,2013-02-15 00:00:00,15.244626,30.197369,0.7988611341018959,0.9995475366721891,0.9998284511819567,0.9359281270767821,0.9998420605610729,0.9999999889791081,0.9999999841899146
r3i1p1f1,18,factual,2013-06-16 00:00:00,-89.1055,174.0849,0.9683047197181305,0.9023228135748944,0.4927851608850028,0.8881055203825243,0.9909405704936328,0.8959656212807935,0.9888770785970259
r3i1p1f1,19,factual,2013-12-16 12:00:00,67.55111,152.17741,0.9780157055372349,0.9990644876017631,0.0,0.9918624941206636,0.9995122557457631,0.966199015456602,0.999999848168709
r3i1p1f1,20,factual,2014-06-16 00:00:00,-13.275287,27.5,0.7565957029159657,0.9999908421428776,0.9987867016790208,0.9999625826471701,0.9999979471747541,0.999984488602932,0.999999879613234
r3i1p1f1,21,factual,2014-07-16 12:00:00,-74.061035,92.38426,0.9547882041885175,0.9110969623444285,0.0,0.8413341050132398,0.9999557914840038,0.9999999658083932,0.9999995798226435
r3i1p1f1,22,factual,2014-10-16 12:00:00,-14.807103,310.94202,0.8713605287880628,0.999980020989262,0.9963046162790937,0.9980580241512047,0.9999999992021005,0.9999999989503064,0.999999999873492
r3i1p1f1,23,factual,2014-12-16 12:00:00,68.60915,252.34375,0.9982242885872933,0.9991745362564461,0.6504663705600473,0.9925979414853059,0.9999999968161216,0.9999999973639747,0.9999806532708927
r3i1p1f1,0,counterfactual,2004-01-16 12:00:00,54.388733,70.63333,0.08350408299816447,0.05569000937993296,0.07603679171502364,0.0,0.29430816030320806,0.1509624810432717,0.19898087226327932
r3i1p1f1,1,counterfactual,2004-03-16 12:00:00,31.322891,48.154205,0.29948538278741255,0.21397927108985715,0.5212502422151004,0.20342196832923065,0.16412374390311923,0.0,0.7396930793605144
r3i1p1f1,2,counterfactual,2005-05-16 12:00:00,-83.01496,311.69272,0.19093298944411008,0.0652930365793204,0.19645936612559445,0.0,0.0,0.0,0.826779818920586
r3i1p1f1,3,counterfactual,2006-02-15 00:00:00,39.63615,275.5324,0.15060419260997604,0.05418043013109419,0.021091914767060516,0.0,0.0,0.0,0.5920219146230152
r3i1p1f1,4,counterfactual,2007-01-16 12:00:00,65.82705,133.8372,0.5198305886757499,0.33195444255566,0.0,0.3087630693250123,0.0,0.0,0.7214275032663147
r3i1p1f1,5,counterfactual,2007-04-16 00:00:00,21.006033,20.714285,0.24615287309841993,0.1210084039763103,0.12753201672490144,0.0,0.6938476499457122,0.0,0.714641960884308
r3i1p1f1,6,counterfactual,2009-01-16 12:00:00,79.97234,285.49106,0.047021234143585056,0.018386472353309702,0.08124137682445443,0.0,0.0,0.0,0.8512444366318433
r3i1p1f1,7,counterfactual,2009-02-15 00:00:00,60.704227,261.42856,0.11526373825199732,0.05882925912108816,0.016566984380610994,0.01836046139858183,0.29633060370402275,0.3514886001858626,0.732885812186479
r3i1p1f1,8,counterfactual,2009-11-16 00:00:00,-3.911469,308.14285,0.24748755632628439,0.09156832799561243,0.12330373779162906,0.0,0.0,0.0,0.5403700240850253
r3i1p1f1,9,counterfactual,2010-02-15 00:00:00,32.48022,83.39041,0.21442743753848292,0.07468422062871616,0.002796412907660639,0.01606360642518967,0.559527602780783,0.326682985603685,0.9691731619320267
r3i1p1f1,10,counterfactual,2010-10-16 12:00:00,-13.389084,309.375,0.5152995175193467,0.3772171350240394,0.0,0.0,0.649877862273097,0.0,0.5130823483793092
r3i1p1f1,11,counterfactual,2011-10-16 12:00:00,49.379,85.51136,0.38496244534554613,0.07897526964820556,0.0,0.0,0.0,0.0,0.9015092187692034
r3i1p1f1,12,counterfactual,2011-12-16 12:00:00,70.94588,111.552635,0.006492043401072234,0.012823489112893549,0.0,0.0,0.0,0.0,0.63145187177073
r3i1p1f1,13,counterfactual,2012-01-16 12:00:00,35.176052,252.91667,0.40364972034394053,0.04187399044072504,0.0,0.05305547024160162,0.0,0.0,0.29182279929225974
