member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_analogue_sparse_gaussian
r9i1p1f1,165,counterfactual,2013-05-16 12:00:00,9.422535,353.25,0.31286244438194233,0.12144053722292614,0.0,0.0,0.16502984489199846,0.0
r9i1p1f1,166,counterfactual,2013-05-16 12:00:00,23.112675,354.75,0.06188650896513681,0.007401610018992311,0.01619513038384568,0.0,0.0,0.40957642585160425
r9i1p1f1,167,counterfactual,2013-05-16 12:00:00,30.16432,5.648148,0.04860133719222959,0.01094858031717938,0.04387137668270624,0.0,0.0,0.41712045386767216
r9i1p1f1,168,counterfactual,2013-07-16 12:00:00,-82.31193,118.29269,0.7210384317058889,0.2250498885011093,0.0,0.39948455053568,0.5617139506591596,0.0
r9i1p1f1,169,counterfactual,2013-08-16 12:00:00,-82.15962,61.435184,0.6474579849946374,0.1989963915927353,0.40969700779431717,0.15564866406607736,0.21321217602548548,0.0
r9i1p1f1,170,counterfactual,2013-08-16 12:00:00,-79.973694,238.70482,0.562773484668972,0.1110719092285487,0.37521755749587193,0.001262873093033412,0.10539077222592586,0.0
r9i1p1f1,171,counterfactual,2013-08-16 12:00:00,-20.793608,301.0096,0.33338911353462086,0.07140382278576163,0.2993578894082898,0.0,0.03055349788198758,0.037107551185637466
r9i1p1f1,172,counterfactual,2013-09-16 00:00:00,-80.18078,345.48508,0.005765625060062396,0.002755594950082041,0.00938145721620276,0.0,0.0033160071975126826,0.0
r9i1p1f1,173,counterfactual,2013-09-16 00:00:00,-28.77465,129.27777,0.19395554696605932,0.03293837283098211,0.07145936209483483,0.0,0.0,0.4322209934283754
r9i1p1f1,174,counterfactual,2013-09-16 00:00:00,-22.129158,300.47873,0.27347980939284156,0.07340306624872783,0.3542167897607569,0.0,0.03252662349379032,0.0
r9i1p1f1,175,counterfactual,2013-09-16 00:00:00,50.259453,21.666666,0.36813592810209916,0.12005105738706146,0.04890817067286468,0.04714005262552978,0.1975874609213505,0.13465985326143692
r9i1p1f1,176,counterfactual,2013-11-16 00:00:00,70.040085,117.67308,0.4342495295859834,0.2686907711665417,0.1249220134659551,0.013970862527899475,0.38893690924493407,0.18702136390781632
r9i1p1f1,177,counterfactual,2014-01-16 12:00:00,30.112103,260.4592,0.20414287578779478,0.06638883456820077,0.1426326301396701,0.0,0.0,0.0
r9i1p1f1,178,counterfactual,2014-01-16 12:00:00,29.604725,87.90323,0.2444220368043406,0.03285303380610005,0.058936736359111896,0.031526223967371036,0.05467280199313351,0.0
r9i1p1f1,179,counterfactual,2014-01-16 12:00:00,74.309105,96.41892,0.9837379498644574,0.47488075950570996,0.9871432281441669,0.7724650921460732,0.9779280079965933,0.0
r9i1p1f1,180,counterfactual,2014-02-15 00:00:00,61.124218,41.019855,0.3406683451361634,0.2019965608049218,0.38079644267890633,0.0,0.13799257467181414,0.16506544523305466
r9i1p1f1,181,counterfactual,2014-02-15 00:00:00,55.523525,111.08491,0.4335455533346292,0.13780743939328866,0.0,0.05605572736283304,0.18663334775686946,0.09091156213168528
r9i1p1f1,182,counterfactual,2014-04-16 00:00:00,45.339012,277.96512,0.2871790182037758,0.1149349833724852,0.0,0.1496509743378125,0.22730394027728817,0.40657561071891657
r9i1p1f1,183,counterfactual,2014-05-16 12:00:00,43.540775,11.802325,0.2954131634028363,0.11817291657474271,0.20141924873795625,0.0,0.05360258340260304,0.0
r9i1p1f1,184,counterfactual,2014-06-16 00:00:00,0.31690148,23.529411,0.43052800752199516,0.5158479314223339,0.0,0.4761852959415137,0.7620228808059311,0.11096993628501228
r9i1p1f1,185,counterfactual,2014-07-16 12:00:00,-1.5268887,27.670454,0.3723062492784439,0.11964450635038648,0.011832224993200025,0.0,0.03846253499835961,0.0
r9i1p1f1,186,counterfactual,2014-07-16 12:00:00,50.949566,22.580645,0.007853985242191164,0.019057063745751668,0.07739446154152585,0.0,0.0,0.24106209379264742
