member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_gaussian
r3i1p1f1,5,factual,2007-04-16 00:00:00,21.006033,20.714285,0.9074878196189589,0.982412208092051,0.0,0.8562610634455925,0.9999454670659613
r3i1p1f1,6,factual,2009-01-16 12:00:00,79.97234,285.49106,0.9986892671584677,0.9954682649033493,0.9999933360312663,0.9993359540766418,0.6068337600768605
r3i1p1f1,7,factual,2009-02-15 00:00:00,60.704227,261.42856,0.9952710174071729,0.9965128065190605,0.0,0.9998117832347406,0.999994638251916
r3i1p1f1,8,factual,2009-11-16 00:00:00,-3.911469,308.14285,0.8716961737731646,0.9999746289074936,1.0,0.964040181878201,0.9999998760739369
r3i1p1f1,9,factual,2010-02-15 00:00:00,32.48022,83.39041,0.9533902121547305,0.9991035385713328,0.999999994266154,0.9004064544928465,0.9670424929258357
r3i1p1f1,10,factual,2010-10-16 12:00:00,-13.389084,309.375,0.9088215844638672,0.9999980511521168,0.0,0.9967167019409229,0.9999999812828327
r3i1p1f1,11,factual,2011-10-16 12:00:00,49.379,85.51136,0.9623311965797156,0.923782486053581,0.3596342916472596,0.8044270991809382,0.9999930881076701
r3i1p1f1,12,factual,2011-12-16 12:00:00,70.94588,111.552635,0.9983606237884557,0.9991276021740444,0.0,0.9999971830804194,0.9999999867642785
r3i1p1f1,13,factual,2012-01-16 12:00:00,35.176052,252.91667,0.8722742860734369,0.9495306776152088,0.0,0.9601116159745757,0.9990132091297443
r3i1p1f1,14,factual,2012-04-16 00:00:00,-71.514084,57.708332,0.993075904646343,0.8923696331099277,0.9999999921354867,0.9201295178868686,0.9999999017354656
r3i1p1f1,15,factual,2013-01-16 12:00:00,15.35673,10.122951,0.9499995985731058,0.9992590577803467,0.0,0.9343644361774651,0.9215069827174055
r3i1p1f1,16,factual,2013-01-16 12:00:00,64.313385,206.00694,0.9973375880614931,0.9845057652625634,0.0,0.9403486312304817,0.9919245710873548
r3i1p1f1,17,factual,2013-02-15 00:00:00,15.244626,30.197369,0.7988611341018959,0.9995475366721891,0.9998284511819567,0.9359281270767821,0.9992547183130219
r3i1p1f1,18,factual,2013-06-16 00:00:00,-89.1055,174.0849,0.9683047197181305,0.9023228135748944,0.4927851608850028,0.8881055203825243,0.9913332471408466
r3i1p1f1,19,factual,2013-12-16 12:00:00,67.55111,152.17741,0.9780157055372349,0.9990644876017631,0.0,0.9918624941206636,0.9998898221602184
r3i1p1f1,20,factual,2014-06-16 00:00:00,-13.275287,27.5,0.7565957029159657,0.9999908421428776,0.9987867016790208,0.9999625826471701,0.999999695833317
r3i1p1f1,21,factual,2014-07-16 12:00:00,-74.061035,92.38426,0.9547882041885175,0.9110969623444285,0.0,0.8413341050132398,0.9999999851165406
r3i1p1f1,22,factual,2014-10-16 12:00:00,-14.807103,310.94202,0.8713605287880628,0.999980020989262,0.9963046162790937,0.9980580241512047,0.9999999996380995
r3i1p1f1,23,factual,2014-12-16 12:00:00,68.60915,252.34375,0.9982242885872933,0.9991745362564461,0.6504663705600473,0.9925979414853059,0.9999999964921802
