member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian,pn_analogue_sparse_adjusted_gaussian
r3i1p1f1,4,counterfactual,2007-01-16 12:00:00,65.82705,133.8372,0.5198305886757499,0.33195444255566,0.0,0.3087630693250123,0.6939666223369101,0.2808725001172898,0.16079052962372364,0.0
r3i1p1f1,5,counterfactual,2007-04-16 00:00:00,21.006033,20.714285,0.24615287309841993,0.1210084039763103,0.0,0.0,0.0435398112053349,0.09773051331966531,-0.23590231139163298,0.5797030424489367
r3i1p1f1,6,counterfactual,2009-01-16 12:00:00,79.97234,285.49106,0.047021234143585056,0.018386472353309702,0.12969806007246099,0.0,0.0,0.0,0.028528394928728718,0.0
r3i1p1f1,7,counterfactual,2009-02-15 00:00:00,60.704227,261.42856,0.11526373825199732,0.05882925912108816,0.06232722959491821,0.01836046139858183,0.05216860075425178,0.09112413321597235,0.2613181316746441,0.16347523117739748
r3i1p1f1,8,counterfactual,2009-11-16 00:00:00,-3.911469,308.14285,0.24748755632628439,0.09156832799561243,0.05665289458107192,0.0,0.0,0.0,0.0538238245050886,0.0
r3i1p1f1,9,counterfactual,2010-02-15 00:00:00,32.48022,83.39041,0.21442743753848292,0.07468422062871616,0.0,0.01606360642518967,0.05835144970033046,0.15642891437467854,0.5327429244539237,0.4626471398215487
r3i1p1f1,10,counterfactual,2010-10-16 12:00:00,-13.389084,309.375,0.5152995175193467,0.3772171350240394,0.7830176170465363,0.0,0.3189952412947028,0.7300661844946486,0.9192554523655736,0.8829138065557662
r3i1p1f1,11,counterfactual,2011-10-16 12:00:00,49.379,85.51136,0.38496244534554613,0.07897526964820556,0.0,0.0,0.05031244491925135,0.30568720742126065,0.3710362357335484,0.03634313354424579
r3i1p1f1,12,counterfactual,2011-12-16 12:00:00,70.94588,111.552635,0.006492043401072234,0.012823489112893549,0.0,0.0,0.0,0.0,-0.005105749669175763,0.0
r3i1p1f1,13,counterfactual,2012-01-16 12:00:00,35.176052,252.91667,0.40364972034394053,0.04187399044072504,0.012569871072284466,0.05305547024160162,0.09255497356561737,0.40400740775808996,0.1290699738807377,0.0
r3i1p1f1,14,counterfactual,2012-04-16 00:00:00,-71.514084,57.708332,0.03316307187196088,0.0076777946968293875,0.06270169672857573,0.0,0.0,0.0,-0.0771671631641242,0.0
r3i1p1f1,15,counterfactual,2013-01-16 12:00:00,15.35673,10.122951,0.08148712523433677,0.015605539935489188,0.03668902803276042,0.0,0.0,0.0,-0.015174294193254445,0.0
r3i1p1f1,16,counterfactual,2013-01-16 12:00:00,64.313385,206.00694,0.24966426586028456,0.020921598275520537,0.0,0.0,0.031103112390510668,0.1106077307904163,0.27822292400839777,0.0
r3i1p1f1,17,counterfactual,2013-02-15 00:00:00,15.244626,30.197369,0.15149004398082744,0.008716352924255877,0.0,0.0,0.0,0.0,0.22422151592926487,0.09383431536368003
r3i1p1f1,18,counterfactual,2013-06-16 00:00:00,-89.1055,174.0849,0.5839891196309624,0.09824301348966558,0.5898826284998137,0.22139593519922984,0.4513168367332827,0.5461796515840174,-0.4045140064490462,0.0
r3i1p1f1,19,counterfactual,2013-12-16 12:00:00,67.55111,152.17741,0.9254075308601641,0.3489124489205573,0.1977946024039603,0.706594732685078,0.9997661849978147,0.8312779691064208,0.8480750222773543,0.8052885728259075
r3i1p1f1,20,counterfactual,2014-06-16 00:00:00,-13.275287,27.5,0.4077867701074446,0.12763419919881425,0.5531374952887262,0.23289982256674435,0.3564752811888773,0.6258950709088629,0.33125184925117857,0.06578021268457368
r3i1p1f1,21,counterfactual,2014-07-16 12:00:00,-74.061035,92.38426,0.20953150940921683,0.044422154975160666,0.0,0.0,0.0,0.08588775615251332,0.10003859852974084,0.0
r3i1p1f1,22,counterfactual,2014-10-16 12:00:00,-14.807103,310.94202,0.2887016942752396,0.13450503653664347,0.2740199733409172,0.01399501634803757,0.03972622349662591,0.10522059983039522,-0.24345698210130662,0.0
r3i1p1f1,23,counterfactual,2014-12-16 12:00:00,68.60915,252.34375,0.6832678692332498,0.20112104284539445,0.17031175165139423,0.0,0.36928224178733493,0.5189590590530474,-0.06816347320338467,0.13571997102155697
r4i1p1f1,0,factual,2004-07-16 12:00:00,-73.8028,97.888885,0.9042082799220862,0.5550096939878335,0.9829820863003493,0.9414651487021244,0.9931011520777189,0.9998281385695992,0.9019327362083548,0.9208311844083672
r4i1p1f1,1,factual,2005-01-16 12:00:00,58.672035,263.57144,0.8880455401089763,0.977298716569365,0.9592371888397815,0.999438546919257,0.9999966672412565,1.0,-2.083714005973293,0.0
r4i1p1f1,2,factual,2005-07-16 12:00:00,-89.84055,174.76414,0.8429105772994141,0.7070882763131092,0.5138805636250703,0.6631871682326747,0.8811662682845508,0.9998113830690797,0.9888306318142508,0.9954488326725901
r4i1p1f1,3,factual,2005-07-16 12:00:00,-81.12674,138.81818,0.7786943280204848,0.8174074303888226,0.9544464223481562,0.9399955903162318,0.99258648815597,0.9999796798626435,0.9999997899357087,0.9999999241999759
r4i1p1f1,4,factual,2006-02-15 00:00:00,18.814886,7.428571,0.8473530638649307,0.9975360382031451,0.9679548522066024,0.9801116437405814,0.9999203677844175,1.0,0.8683811977627098,0.8120708651292229
r4i1p1f1,5,factual,2006-02-15 00:00:00,16.812454,353.75,0.6582862165003323,0.999770066253858,0.990917374058804,0.9998914775508878,0.9999973930494113,1.0,0.9416070751229315,0.9166283231319705
r4i1p1f1,6,factual,2006-04-16 00:00:00,52.028175,258.94446,0.941703294908556,0.8370328188439033,0.0,0.9914071437345832,0.9995596817876142,0.9999807692438641,-1.5320738886663423,0.0
r4i1p1f1,7,factual,2006-11-16 00:00:00,71.94003,316.9086,0.758644031999789,0.9706706707743572,0.3364344722667679,0.998541243837013,0.9997740961727755,1.0,0.9087355898301446,0.8282302214661745
r4i1p1f1,8,factual,2007-02-15 00:00:00,20.242077,22.03125,0.7504777956373936,0.9894962645983995,0.9334442748185693,0.8356610925017631,0.9965141540033311,0.9999989711239614,0.9980860320201653,0.9943064403095837
r4i1p1f1,9,factual,2007-06-16 00:00:00,-86.32922,140.1302,0.9258329082900687,0.7034864032572812,0.0,0.9230389474323786,0.9933593911683499,0.9999566324403222,0.9909062850301055,0.9794863793023894
