member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian
r1i1p1f1,84,counterfactual,2006-12-16 12:00:00,65.91549,179.79167,0.19138817988730972,0.03171375089600459
r1i1p1f1,85,counterfactual,2007-02-15 00:00:00,51.100353,12.8125,0.40452728527502113,0.0
r1i1p1f1,86,counterfactual,2007-02-15 00:00:00,70.684105,115.95238,0.07939047347500894,0.01010201722619053
r1i1p1f1,87,counterfactual,2007-03-16 12:00:00,13.56338,44.75,0.23060381960640242,0.03808812186215771
r1i1p1f1,88,counterfactual,2007-07-16 12:00:00,-19.160347,136.0577,0.28276981182289673,0.07750235870706312
r1i1p1f1,89,counterfactual,2008-01-16 12:00:00,64.198456,69.65909,0.0004891861859454005,0.0
r1i1p1f1,90,counterfactual,2008-02-15 12:00:00,30.211267,262.70834,0.0002630572268489395,0.0
r1i1p1f1,91,counterfactual,2008-07-16 12:00:00,-83.123245,76.3125,0.46190636879060865,0.0
r1i1p1f1,92,counterfactual,2008-07-16 12:00:00,-73.29065,66.36364,0.44914086655483876,0.0
r1i1p1f1,93,counterfactual,2008-07-16 12:00:00,-67.69014,57.0,0.415218205380106,0.0018040362605286075
r1i1p1f1,94,counterfactual,2008-11-16 00:00:00,70.05633,149.83333,0.0033544982836541948,0.02359496955591689
r1i1p1f1,95,counterfactual,2009-01-16 12:00:00,68.59156,310.1389,1.3764291916906757e-05,0.0004960848660180428
r1i1p1f1,96,counterfactual,2009-04-16 00:00:00,17.366198,103.5,0.25316313116057776,0.07711992900481468
r1i1p1f1,97,counterfactual,2009-07-16 12:00:00,-37.8169,296.45834,0.027938238997537446,0.0
r1i1p1f1,98,counterfactual,2009-07-16 12:00:00,21.218615,81.25,0.1614526703731276,0.05509189740790621
r1i1p1f1,99,counterfactual,2009-08-16 12:00:00,27.6338,79.5,0.15797024919981406,0.05015314979649599
r1i1p1f1,100,counterfactual,2009-09-16 00:00:00,-77.32395,155.25,0.1841589331475919,0.01471236885344196
